"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT2A",1.96952538852234e-05,-0.559691132065117,0.207,0.454,0.351599672359008
"AT1G52070",1.9955003613564e-05,-4.05905285921307,0.007,0.135,0.356236724509345
"AT1G70600",2.01089101033393e-05,-1.20335653546325,0.241,0.449,0.358984263164813
"SAG24",2.04514601651819e-05,-1.47124284498415,0.2,0.405,0.365099466868828
"SDR5",2.1571423699052e-05,-1.89837165144851,0.007,0.135,0.385093055875477
"AT5G46430",2.19833088342576e-05,-2.07797186532668,0.083,0.259,0.392446029309167
"UBQ1",2.33359768292265e-05,-0.884982685791924,0.366,0.578,0.416593858355351
"STR18",2.45940604455598e-05,-2.06143182192139,0.034,0.189,0.439053167074134
"EXPB1",2.47723601982908e-05,2.01481680367339,0.159,0.027,0.442236174259887
"AT4G12520",2.58013336915077e-05,5.06215262662216,0.131,0.016,0.460605409060796
"PCK1",2.5952854179867e-05,0.42348018624895,0.028,0.178,0.463310352818986
"AT4G32460",2.79114718797212e-05,2.27585107828966,0.283,0.114,0.498275595996783
"BIP2",2.91800186656904e-05,-1.10841355596569,0.283,0.492,0.520921693219904
"RPL5B",2.92643108918835e-05,-1.52922069786235,0.297,0.481,0.522426478041903
"AT3G53430",3.03174452842155e-05,-1.78307923559945,0.2,0.384,0.541227033213815
"AT2G44860",3.12461378940767e-05,-2.96359733769209,0.014,0.146,0.557806053685057
"PIP1C",3.14446689384784e-05,1.91267564345666,0.359,0.173,0.561350229889716
"AT3G07110",3.65301055249041e-05,-1.36272852049194,0.228,0.416,0.652135443830588
"AT5G64100",3.68628538661403e-05,4.41843831426443,0.159,0.032,0.658075667218337
"ACT11",3.77354782765981e-05,3.18843587224504,0.172,0.038,0.673653758193829
"RHM1",3.78604892427538e-05,1.32731922399834,0.476,0.276,0.675885453961641
"AT3G45030",3.83710796984139e-05,-2.0772052815443,0.055,0.216,0.685000514776084
"AT3G23940",4.0514335415877e-05,-4.79779806401867,0.021,0.151,0.723261915844236
"AT1G07930",4.32787513389039e-05,-0.74636976687032,0.172,0.368,0.772612268902112
"RPL34",4.39108709452382e-05,-1.49531162403437,0.283,0.465,0.783896868114393
