"gene","MoransI_observed","MoransI_p.value","MoransI_p.adj"
"AT1G04353",NA,NA,NA
"HDG2",NA,NA,NA
"RCI3",NA,NA,NA
"AT1G05270",NA,NA,NA
"AT1G05280",NA,NA,NA
"ZIP5",NA,NA,NA
"AT1G05320",NA,NA,NA
"AT1G05340",NA,NA,NA
"AT1G05350",NA,NA,NA
"KMS2",NA,NA,NA
"AT1G05380",NA,NA,NA
"LPA19",NA,NA,NA
"AT1G05410",NA,NA,NA
"OFP12",NA,NA,NA
"AT1G05430",NA,NA,NA
"AT1G05440",NA,NA,NA
"SDE3",NA,NA,NA
"CVP2",NA,NA,NA
"chr31",NA,NA,NA
"NTMC2T2.1",NA,NA,NA
"AT1G05520",NA,NA,NA
"UGT75B2",NA,NA,NA
"AT1G05540",NA,NA,NA
"UGT75B1",NA,NA,NA
"AT1G05562",NA,NA,NA
"CALS1",NA,NA,NA
"AT1G05575",NA,NA,NA
"HEXO2",NA,NA,NA
"EMB3101",NA,NA,NA
"URH2",NA,NA,NA
"5PTASE13",NA,NA,NA
"AT1G05640",NA,NA,NA
"AT1G05650",NA,NA,NA
"AT1G05660",NA,NA,NA
"AT1G05670",NA,NA,NA
"UGT74E2",NA,NA,NA
"AT1G05700",NA,NA,NA
"AT1G05710",NA,NA,NA
"AT1G05720",NA,NA,NA
"AT1G05730",NA,NA,NA
"PDE247",NA,NA,NA
"AT1G05780",NA,NA,NA
"AT1G05785",NA,NA,NA
"AT1G05790",NA,NA,NA
"AT1G05805",NA,NA,NA
"RABA5E",NA,NA,NA
"SPPL5",NA,NA,NA
"ATX2",NA,NA,NA
"AT1G05835",NA,NA,NA
"AT1G05840",NA,NA,NA
"POM1",NA,NA,NA
"AT1G05860",NA,NA,NA
"AT1G05870",NA,NA,NA
"ARI5",NA,NA,NA
"NTH2",NA,NA,NA
"AT1G05910",NA,NA,NA
"CAT9",NA,NA,NA
"AT1G05950",NA,NA,NA
"AT1G05960",NA,NA,NA
"AT1G05970",NA,NA,NA
"AT1G06002",NA,NA,NA
"AT1G06000",NA,NA,NA
"AT1G06010",NA,NA,NA
"AT1G06020",NA,NA,NA
"AT1G06030",NA,NA,NA
"STO",NA,NA,NA
"AT1G06050",NA,NA,NA
"AT1G06060",NA,NA,NA
"AT1G06070",NA,NA,NA
"ADS1",NA,NA,NA
"AT1G06090",NA,NA,NA
"SKIP16",NA,NA,NA
"GLX2-4",NA,NA,NA
"MEF3",NA,NA,NA
"AT1G06143",NA,NA,NA
"EMB1444",NA,NA,NA
"MYB13",NA,NA,NA
"RHON1",NA,NA,NA
"AT1G06200",NA,NA,NA
"AT1G06210",NA,NA,NA
"MEE5",NA,NA,NA
"GTE4",NA,NA,NA
"AT1G06240",NA,NA,NA
"AT1G06250",NA,NA,NA
"AT1G06265",NA,NA,NA
"AT1G06270",NA,NA,NA
"ACX3",NA,NA,NA
"ACX6",NA,NA,NA
"AT1G06320",NA,NA,NA
"AT1G06330",NA,NA,NA
"AT1G06340",NA,NA,NA
"ADS4",NA,NA,NA
"AT1G06360",NA,NA,NA
"AT1G06380",NA,NA,NA
"GSK1",NA,NA,NA
"ARA-2",NA,NA,NA
"TPS7",NA,NA,NA
"AT1G06420",NA,NA,NA
"FTSH8",NA,NA,NA
"AT1G06440",NA,NA,NA
"AT1G06450",NA,NA,NA
"ACD32.1",NA,NA,NA
"AT1G06470",NA,NA,NA
"AT1G06475",NA,NA,NA
"AT1G06500",NA,NA,NA
"AT1G06515",NA,NA,NA
"AT1G06510",NA,NA,NA
"GPAT1",NA,NA,NA
"PMD2",NA,NA,NA
"AT1G06540",NA,NA,NA
"AT1G06550",NA,NA,NA
"AT1G06560",NA,NA,NA
"AT1G04483",NA,NA,NA
"PDS1",NA,NA,NA
"AT1G06580",NA,NA,NA
"AT1G06590",NA,NA,NA
"AT1G06620",NA,NA,NA
"AT1G06630",NA,NA,NA
"AT1G06640",NA,NA,NA
"AT1G06645",NA,NA,NA
"AT1G06650",NA,NA,NA
"JASON",NA,NA,NA
"NIH",NA,NA,NA
"PSBP-1",NA,NA,NA
"AT1G06690",NA,NA,NA
"AT1G06700",NA,NA,NA
"AT1G06710",NA,NA,NA
"AT1G06720",NA,NA,NA
"AT1G06730",NA,NA,NA
"AT1G06760",NA,NA,NA
"DRIP1",NA,NA,NA
"GAUT6",NA,NA,NA
"AT1G06790",NA,NA,NA
"CRTISO",NA,NA,NA
"AT1G06840",NA,NA,NA
"bZIP52",NA,NA,NA
"Plsp2A",NA,NA,NA
"AT1G06890",NA,NA,NA
"AT1G06900",NA,NA,NA
"TRFL7",NA,NA,NA
"AT1G04533",NA,NA,NA
"AT1G06930",NA,NA,NA
"TIC110",NA,NA,NA
"AT1G06960",NA,NA,NA
"AT1G06980",NA,NA,NA
"EXO70B2",NA,NA,NA
"SLP1",NA,NA,NA
"AT1G07020",NA,NA,NA
"AT1G07030",NA,NA,NA
"AT1G07040",NA,NA,NA
"AT1G07050",NA,NA,NA
"DFO",NA,NA,NA
"AT1G07070",NA,NA,NA
"AT1G07080",NA,NA,NA
"F2KP",NA,NA,NA
"AT1G04563",NA,NA,NA
"AT1G07128",NA,NA,NA
"STN1",NA,NA,NA
"AT1G07135",NA,NA,NA
"SIRANBP",NA,NA,NA
"MAPKKK13",NA,NA,NA
"AT1G07170",NA,NA,NA
"AT1G07175",NA,NA,NA
"NDA1",NA,NA,NA
"AT1G07200",NA,NA,NA
"AT1G07210",NA,NA,NA
"AT1G07220",NA,NA,NA
"NPC1",NA,NA,NA
"UGT71C5",NA,NA,NA
"UGT71C4",NA,NA,NA
"UGT71C3",NA,NA,NA
"AT1G07270",NA,NA,NA
"AT1G07280",NA,NA,NA
"GONST2",NA,NA,NA
"AT1G07300",NA,NA,NA
"AT1G07310",NA,NA,NA
"RPL4",NA,NA,NA
"AT1G07330",NA,NA,NA
"SR45a",NA,NA,NA
"MAC5A",NA,NA,NA
"PCNA1",NA,NA,NA
"AT1G07380",NA,NA,NA
"RLP1",NA,NA,NA
"AT1G07400",NA,NA,NA
"RABA2b",NA,NA,NA
"SMO2-1",NA,NA,NA
"AT1G07440",NA,NA,NA
"AT1G07470",NA,NA,NA
"AT1G07480",NA,NA,NA
"RTFL3",NA,NA,NA
"ftsh10",NA,NA,NA
"AT1G07520",NA,NA,NA
"SCL14",NA,NA,NA
"APK1A",NA,NA,NA
"AT1G07590",NA,NA,NA
"MT1C",NA,NA,NA
"AT1G07615",NA,NA,NA
"PLL5",NA,NA,NA
"OBP2",NA,NA,NA
"AT1G07650",NA,NA,NA
"AT1G07660",NA,NA,NA
