"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT2G37480",0.04802896776013,-0.609429286394323,0.043,0.111,1
"AT5G64250",0.04802896776013,0.699864181663735,0.043,0.111,1
"GONST3",0.0483722188125373,0.666277040085087,0.065,0.148,1
"EXPA9",0.0486405472623206,1.57710003531695,0.514,0.63,1
"AT1G25275",0.0487326561246863,0.777888821655213,0.108,0.222,1
"AT3G26935",0.0487697536738735,0.564518299362484,0.065,0.148,1
"AOC3",0.048846386482604,0.827816685832722,0.195,0.37,1
"PEN2.1",0.0494307667196453,0.37063109752338,0.043,0.111,1
"PBD1",0.0495730551092358,0.363111540998189,0.065,0.148,1
"UGD3",0.049802876386894,3.56054433831639,0.2,0.123,1
"AT5G16300",0.0498511167368799,0.940616614616065,0.086,0.185,1
"FAH1",0.0501090811949444,0.816950887678735,0.146,0.284,1
"AT5G65750",0.0503422927148735,0.820616912345448,0.13,0.259,1
"GAMMA-VPE",0.0503842412025538,0.635057254089815,0.043,0.111,1
"ZW18",0.0503874255126983,0.832200679184991,0.065,0.148,1
"AT2G28430",0.0503874255126983,0.585876455254142,0.065,0.148,1
"AT5G62610",0.0503874255126983,0.928783994363147,0.065,0.148,1
"IPP2",0.0504826208486144,0.532436445840577,0.405,0.765,1
"PIP1B",0.0505780216829436,0.697627277870363,0.303,0.556,1
"PMP",0.050589390418588,1.71984060857548,0.151,0.296,1
"AT1G31850",0.0507019540953429,0.746029372892127,0.216,0.407,1
"AT1G51350",0.0508667288030767,-0.378796482459534,0.043,0.111,1
"VPS25",0.0508667288030767,0.72306760928432,0.043,0.111,1
"CAM5",0.0511746830648251,1.01300867173538,0.168,0.321,1
"AT3G27325",0.0513186327265041,0.685932820517417,0.086,0.185,1
"AT1G56140",0.051353080237592,1.02522790245461,0.043,0.111,1
"CLASP",0.051353080237592,0.750577138144419,0.043,0.111,1
"AT3G15180",0.051353080237592,0.556220007579229,0.043,0.111,1
"GGH1",0.0518433182677316,1.2058952265994,0.043,0.111,1
"NADK1",0.0518433182677316,0.559347170177836,0.043,0.111,1
"AT5G05520",0.0518433182677316,1.09649310719985,0.043,0.111,1
"AT3G57340",0.0523374657067965,0.70116783302352,0.043,0.111,1
"AT1G14570",0.0524014290005713,0.309730047057707,0.081,0.173,1
"AT1G52420",0.0524014290005713,0.625044465901915,0.081,0.173,1
"ACX3",0.0524164115643529,0.304085960437127,0.059,0.136,1
"BIN2",0.0524725171383061,0.838463395822773,0.065,0.148,1
"LCB2",0.0524725171383061,0.580042606452632,0.065,0.148,1
"SKP2B",0.0528355454190232,0.539608991423006,0.043,0.111,1
"TPS5",0.0528355454190232,0.275125390855654,0.043,0.111,1
"E1 ALPHA",0.053116271804233,1.14149267818059,0.103,0.21,1
"APR2",0.0533375803188401,0.298370024237769,0.043,0.111,1
"AT1G61790",0.0536153695701783,1.22517090079781,0.151,0.296,1
"AT2G02870",0.0538435933701149,0.944814715404204,0.043,0.111,1
"AT3G09570",0.0538435933701149,0.562650774706188,0.043,0.111,1
"AT1G32860",0.0543498839789294,0.480862524716788,0.097,0.198,1
"AT1G71410",0.0543776476737966,0.464773457871522,0.081,0.173,1
"TUB4",0.0546131095047777,0.961625549711425,0.281,0.531,1
"EFS",0.0546292623890559,1.06971155806305,0.065,0.148,1
"ERD2B",0.0553016412364391,0.434039495819229,0.103,0.21,1
"J2",0.055591291303659,0.918312096215698,0.157,0.296,1
"SCL30",0.0556730567354052,0.541363561202285,0.103,0.21,1
"AT4G26710",0.0564524694569551,0.635661168978788,0.141,0.272,1
"HXK3",0.0567997921589197,0.53146282829839,0.103,0.21,1
"HA1",0.0569338130518649,0.888578262164011,0.281,0.543,1
"COR413-PM1",0.0569700788684145,2.940662855463,0.173,0.099,1
"AT5G03660",0.0570222449021215,0.870589360138771,0.097,0.198,1
"AT5G63190",0.0570391879854061,0.942389607682816,0.081,0.173,1
"AT3G48140",0.0572666174758564,0.960393108374611,0.357,0.679,1
"RHD3",0.0574624301017998,0.590482724841028,0.141,0.272,1
"AT1G29310",0.0578486883410079,1.16678480241386,0.195,0.37,1
"PYL4",0.0579348345221497,0.30155718454023,0.059,0.136,1
"AT5G62340",0.058091500419494,0.766640287897732,0.081,0.173,1
"AT5G08690",0.0586849870491344,0.253320350943963,0.514,0.901,1
"EIR1",0.0587319785205413,0.49993260617834,0.297,0.531,1
"AT5G50180",0.0588155904541576,0.576293112654933,0.135,0.259,1
