"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT5G07090",2.62945401635317e-29,-0.883304756953871,0.043,0.292,4.69410130999368e-25,"0","AT5G07090"
"ADK1.1",2.96835585029661e-29,-1.35721735201406,0.026,0.253,5.29910886394951e-25,"0","ADK1.1"
"AT2G33370",3.56073140060839e-29,-2.33786134575451,0.01,0.217,6.3566176963661e-25,"0","AT2G33370"
"AT3G05560",7.9401316954802e-29,-0.865913082374051,0.048,0.299,1.41747231027713e-24,"0","AT3G05560"
"AT2G31390",9.00879723796618e-29,-2.38245439999107,0.007,0.206,1.60825048292172e-24,"0","AT2G31390"
"PGK",9.90986552858221e-29,-1.63641121848516,0.021,0.238,1.7691091941625e-24,"0","PGK"
"AT4G29390",1.16317261243238e-28,-1.18336351312621,0.031,0.261,2.07649574771428e-24,"0","AT4G29390"
"ROC3",1.5188124392404e-28,-0.498656468723228,0.101,0.407,2.71138396653196e-24,"0","ROC3"
"UBQ6",3.51019985637793e-28,-0.796363409249481,0.034,0.266,6.26640878360587e-24,"0","UBQ6"
"FBR12",4.05233566946566e-28,-0.544269148572205,0.079,0.359,7.23422963713009e-24,"0","FBR12"
"AT5G58420",4.24823496475962e-28,-0.923523234340682,0.034,0.265,7.58394905908888e-24,"0","AT5G58420"
"AT4G26230",5.06025743549117e-28,-0.891376692279681,0.034,0.265,9.03357157383883e-24,"0","AT4G26230"
"TUA4",9.2503815049468e-28,-1.0026889403585,0.038,0.27,1.6513781062631e-23,"0","TUA4"
"HA2",1.12847022711068e-27,-1.46688975918094,0.022,0.235,2.01454504943799e-23,"0","HA2"
"AT5G47700",1.20455375950456e-27,-0.552976774652151,0.055,0.307,2.15036937146753e-23,"0","AT5G47700"
"DI21",1.38386127451795e-27,-4.485594236355,0.002,0.186,2.47046914726944e-23,"0","DI21"
"HSP60",1.48843765617309e-27,-0.711762073926053,0.058,0.312,2.65715890380021e-23,"0","HSP60"
"RPL5B",1.53709057601445e-27,-0.684565092715887,0.072,0.341,2.74401409630099e-23,"0","RPL5B"
"ACT7",1.60776407213591e-27,-0.894868382803838,0.043,0.28,2.87018042157703e-23,"0","ACT7"
"AT5G35530",2.06256644709818e-27,-2.9562556370676,0.007,0.197,3.68209362135967e-23,"0","AT5G35530"
"RPS5A",2.06599481455089e-27,-0.593968833869806,0.062,0.32,3.68821394293624e-23,"0","RPS5A"
"AT3G14600",2.8869759947216e-27,-1.27513479454281,0.027,0.245,5.153829545777e-23,"0","AT3G14600"
"TUA6",3.39485349324049e-27,-0.479754097048127,0.057,0.307,6.06049245613292e-23,"0","TUA6"
"GRF3.1",3.8713328110118e-27,-0.668944983248941,0.055,0.303,6.91110333421827e-23,"0","GRF3.1"
"AT5G21020",5.41284483026662e-27,-0.475229070999422,0.079,0.351,9.66301059099197e-23,"0","AT5G21020"
"c-NAD-MDH1",5.61058808864456e-27,-0.554036172197296,0.06,0.312,1.00160218558483e-22,"0","c-NAD-MDH1"
"TPI",5.77381638884815e-27,-0.583337677553267,0.045,0.28,1.03074170173717e-22,"0","TPI"
"AT3G56340",6.25766564530782e-27,-1.0189095037377,0.031,0.25,1.11711847100035e-22,"0","AT3G56340"
"AT2G34480",7.01509354027695e-27,-0.532306678804733,0.08,0.355,1.25233449881024e-22,"0","AT2G34480"
"AT1G78040",7.61731963239906e-27,-0.365793520302379,0.075,0.343,1.35984390077588e-22,"0","AT1G78040"
"AT1G15930",7.71971809349273e-27,-0.728560246207759,0.048,0.286,1.37812407405032e-22,"0","AT1G15930"
"P5CR",1.22560498326757e-26,-1.52518861975344,0.019,0.221,2.18795001612927e-22,"0","P5CR"
"AT3G53990",1.58750819275316e-26,-1.18203020706218,0.021,0.224,2.83401962570294e-22,"0","AT3G53990"
"AT1G76200",1.851987878129e-26,-1.07839774565787,0.024,0.232,3.30616876003589e-22,"0","AT1G76200"
"iPGAM1",3.1108700914736e-26,-1.40852440703673,0.017,0.215,5.55352528729867e-22,"0","iPGAM1"
"RPL34",3.1109700489216e-26,-0.366430782014453,0.072,0.333,5.55370373133484e-22,"0","RPL34"
"AT1G09690",3.14668992190601e-26,-0.741880876466292,0.046,0.279,5.61747084858661e-22,"0","AT1G09690"
"TUA2",3.47660550245411e-26,-1.27744576907909,0.031,0.245,6.20643614298108e-22,"0","TUA2"
"CDPK6",3.48042732702336e-26,-1.57322611529194,0.015,0.21,6.2132588642021e-22,"0","CDPK6"
"PAB2",3.49257706782244e-26,-0.781262047538564,0.043,0.271,6.23494858147663e-22,"0","PAB2"
"AT1G26880",3.51178830974739e-26,-0.719567434721848,0.034,0.253,6.26924449056104e-22,"0","AT1G26880"
"AT2G34250",3.5152005172303e-26,-1.41258534063793,0.027,0.237,6.27533596335954e-22,"0","AT2G34250"
"LOS2",3.56669373782614e-26,-0.584780055069933,0.046,0.279,6.36726166076723e-22,"0","LOS2"
"AT1G01100",3.60885609581662e-26,-0.434636001191808,0.082,0.354,6.44252990225182e-22,"0","AT1G01100"
"ATPQ",3.64005666199312e-26,-0.571603839967115,0.045,0.275,6.49822915299012e-22,"0","ATPQ"
"AT1G07940",4.11993409456132e-26,-0.867786522925613,0.034,0.252,7.35490634561086e-22,"0","AT1G07940"
"AT5G64400",5.17288226871407e-26,-0.276894765272049,0.074,0.335,9.23462942610836e-22,"0","AT5G64400"
"SHM4",6.0781184118174e-26,-0.985961987810134,0.039,0.262,1.08506569887764e-21,"0","SHM4"
"RPS11-BETA",7.23263272604508e-26,-1.11368498052805,0.026,0.232,1.29116959425357e-21,"0","RPS11-BETA"
"ATARCA",7.61202932457354e-26,-0.981953615275566,0.026,0.232,1.35889947502287e-21,"0","ATARCA"
"AT3G11510",8.1917354832373e-26,-0.521891474526612,0.055,0.294,1.46238861846752e-21,"0","AT3G11510"
"AT5G20290",1.10275377774443e-25,-0.257846091742202,0.104,0.397,1.96863604402936e-21,"0","AT5G20290"
"AT3G53740",1.20139332880243e-25,-0.427493098281905,0.089,0.364,2.14472737057809e-21,"0","AT3G53740"
"AT5G19440",1.23067639024413e-25,-2.05080943153443,0.012,0.198,2.19700349186382e-21,"0","AT5G19440"
"MPPBETA",1.37744966919384e-25,-0.721704328013755,0.024,0.226,2.45902314944484e-21,"0","MPPBETA"
"CRT1b",1.57071495367144e-25,-0.203898914937026,0.08,0.347,2.80404033529425e-21,"0","CRT1b"
"TRX3",1.57491732666319e-25,-0.367408509180494,0.084,0.352,2.81154241155913e-21,"0","TRX3"
"AT5G47030",1.71755321393784e-25,-0.499367919407502,0.039,0.26,3.06617599752184e-21,"0","AT5G47030"
"CB5-E",1.75938822843929e-25,-0.750243194306822,0.038,0.255,3.14085986540982e-21,"0","CB5-E"
"AT1G41880",2.43204738570729e-25,-0.811841630447924,0.036,0.251,4.34169099296465e-21,"0","AT1G41880"
"PPI1",2.72527692988451e-25,-1.09450369140106,0.024,0.224,4.86516437522983e-21,"0","PPI1"
"AT4G37830",2.74010409850419e-25,-0.718921914628126,0.038,0.254,4.89163383664968e-21,"0","AT4G37830"
"AT3G02080",3.06596705637639e-25,-0.779029590403921,0.031,0.239,5.47336438904313e-21,"0","AT3G02080"
"PMEPCRA",3.33559676788726e-25,-3.0712942003705,0.005,0.179,5.95470735003234e-21,"0","PMEPCRA"
"LOS1",3.53899945703044e-25,-0.46028947542187,0.057,0.294,6.31782183069074e-21,"0","LOS1"
"FAD3",3.71659821835711e-25,-1.0595346255919,0.015,0.204,6.63487113941111e-21,"0","FAD3"
"AT3G23390",4.26644794553521e-25,-0.727110811055131,0.043,0.264,7.61646287236945e-21,"0","AT3G23390"
"LHB1B2",4.65930701961346e-25,1.96270365781821,0.437,0.256,8.31779489141394e-21,"0","LHB1B2"
"PGY1",4.75687222466258e-25,-0.620945635973354,0.048,0.275,8.49196829546763e-21,"0","PGY1"
"CSD1",4.79588565093761e-25,-0.99091645768762,0.022,0.219,8.56161506405381e-21,"0","CSD1"
"AT1G07930",4.93753856243154e-25,-0.605137224265387,0.036,0.249,8.81449384165279e-21,"0","AT1G07930"
"ROF1",5.02854659489633e-25,-0.474169776213213,0.051,0.282,8.97696138120892e-21,"0","ROF1"
"GR-RBP2",7.48476941552486e-25,-1.24432495491326,0.024,0.221,1.3361810360595e-20,"0","GR-RBP2"
"Tudor1",1.09467386432766e-24,-1.34830371790231,0.015,0.201,1.95421178259774e-20,"0","Tudor1"
"RPS10B",1.29013970766416e-24,-0.550153914866242,0.051,0.279,2.30315740612206e-20,"0","RPS10B"
"AT3G48140",1.30025610977481e-24,-0.768939740361011,0.045,0.264,2.32121720716998e-20,"0","AT3G48140"
"AT5G03850",1.33074598582324e-24,-0.633306343775509,0.06,0.296,2.37564773389165e-20,"0","AT5G03850"
"ADS2",1.53070968084586e-24,-0.883632500105901,0.029,0.231,2.73262292224602e-20,"0","ADS2"
"AT2G36160",1.54906342860714e-24,-1.14259950550224,0.029,0.231,2.76538803274947e-20,"0","AT2G36160"
"AT2G21160",2.49030832416181e-24,-0.513036430065996,0.041,0.255,4.44569842029367e-20,"0","AT2G21160"
"AT5G08690",2.5289540974787e-24,-0.497919080437475,0.051,0.277,4.51468885481898e-20,"0","AT5G08690"
"RPS28",3.03796038148251e-24,-1.23973238118433,0.017,0.202,5.42336687302258e-20,"0","RPS28"
"ATHSP22.0",3.07705964426667e-24,-0.433330036599325,0.13,0.429,5.49316687694486e-20,"0","ATHSP22.0"
"AT1G74050",3.66566999503138e-24,-1.02261772309603,0.031,0.232,6.54395407513001e-20,"0","AT1G74050"
"AT3G16780",3.85479889043603e-24,-1.4560142313632,0.014,0.193,6.8815869792064e-20,"0","AT3G16780"
"AT1G08360",4.73639684487818e-24,-0.654512779177534,0.048,0.267,8.45541564747653e-20,"0","AT1G08360"
"DWF1",5.2916121751994e-24,-0.513818648412931,0.045,0.261,9.44658605516597e-20,"0","DWF1"
"VDAC3",6.43170323860259e-24,-1.20442081639289,0.017,0.2,1.14818766215533e-19,"0","VDAC3"
"ABCB19",6.98464652757816e-24,-2.53231123240102,0.007,0.175,1.24689909810325e-19,"0","ABCB19"
"RPL24A",9.27948248144501e-24,-0.512465911917242,0.043,0.255,1.65657321258756e-19,"0","RPL24A"
"AT4G31340",1.0956087782635e-23,-1.00039420298831,0.021,0.206,1.955880790956e-19,"0","AT4G31340"
"AT1G27400",1.13906230012766e-23,-0.221491648131308,0.06,0.291,2.03345401818791e-19,"0","AT1G27400"
"CPN10",1.25133515033223e-23,-0.506775457021402,0.034,0.236,2.23388351037309e-19,"0","CPN10"
"AT2G42310",1.27848502011106e-23,-1.60253665479656,0.017,0.197,2.28235145790227e-19,"0","AT2G42310"
"AT4G32020",1.40197412558497e-23,-0.710936918368302,0.033,0.232,2.50280420899429e-19,"0","AT4G32020"
"AT1G07920",1.40604575290176e-23,-1.27469865744878,0.027,0.22,2.51007287808023e-19,"0","AT1G07920"
"RPS13A",1.70421545952052e-23,-0.502643323890958,0.041,0.25,3.04236543833602e-19,"0","RPS13A"
"AT3G04840",2.54707517903357e-23,-0.439857440688988,0.051,0.269,4.54703860961074e-19,"0","AT3G04840"
"RPL18",2.74679675017425e-23,-0.275929993017852,0.065,0.298,4.90358155841106e-19,"0","RPL18"
"RPL27AB",2.92479762197989e-23,-0.620354882702517,0.033,0.23,5.2213487147585e-19,"0","RPL27AB"
"AT2G39390",3.27341921862551e-23,-1.44797728904864,0.015,0.191,5.84370798909026e-19,"0","AT2G39390"
"CESA1",3.37748059742791e-23,-1.47699999939632,0.019,0.198,6.0294783625283e-19,"0","CESA1"
"AT5G45775",3.56494610078765e-23,-0.923475496633103,0.027,0.218,6.36414177912612e-19,"0","AT5G45775"
"EDA9",3.63517354827927e-23,-1.38001499565088,0.019,0.198,6.48951181838816e-19,"0","EDA9"
"GSR 1",3.66453230051102e-23,-1.72547470327121,0.014,0.187,6.54192306287227e-19,"0","GSR 1"
"AT1G56045",4.36507139659767e-23,-0.324105723401333,0.075,0.318,7.79252545720617e-19,"0","AT1G56045"
"AT5G59850",4.53953153498266e-23,-0.696914382072526,0.034,0.232,8.10397169625104e-19,"0","AT5G59850"
"AT1G57660",4.82138288858528e-23,-2.19551176611058,0.014,0.186,8.60713273270245e-19,"0","AT1G57660"
"AT4G31290",4.86128770931217e-23,-2.27832949398136,0.007,0.17,8.67837081866409e-19,"0","AT4G31290"
"AT3G09500",5.33894313022422e-23,-0.450200630941744,0.074,0.313,9.53108127607628e-19,"0","AT3G09500"
"EIF4A1",5.70267279391853e-23,-0.85745098329248,0.036,0.235,1.01804114717034e-18,"0","EIF4A1"
"RAN-1",6.34556129774974e-23,-0.336066502557395,0.039,0.242,1.13280960287428e-18,"0","RAN-1"
"AT3G59540",6.845825155617e-23,-0.411954873596443,0.038,0.238,1.22211670678075e-18,"0","AT3G59540"
"AT5G19760",9.11562093950533e-23,-0.525420969466797,0.041,0.245,1.62732065012049e-18,"0","AT5G19760"
"AT3G52580",1.03503752359079e-22,-2.2682986093192,0.007,0.167,1.84774898711429e-18,"0","AT3G52580"
"AT2G05220",1.03760180189919e-22,-0.651631066238868,0.038,0.237,1.85232673675044e-18,"0","AT2G05220"
"AT1G70600",1.12863938135477e-22,-0.33553402860389,0.072,0.307,2.01484702359454e-18,"0","AT1G70600"
"AT3G53870",1.18371225770527e-22,-0.571721148157519,0.045,0.251,2.11316312245545e-18,"0","AT3G53870"
"mtACP2",1.28528932028702e-22,-1.07140228798455,0.022,0.203,2.29449849457639e-18,"0","mtACP2"
"SAM1",1.5316724778324e-22,-0.843544424137242,0.024,0.206,2.73434170742639e-18,"0","SAM1"
"RGP1",1.56175758983752e-22,-2.752615593871,0.005,0.162,2.78804964937793e-18,"0","RGP1"
"TUB3",1.86081441690479e-22,-0.758802397444107,0.038,0.235,3.32192589705842e-18,"0","TUB3"
"HSP81-3",1.90556857028278e-22,-0.767462801766086,0.029,0.217,3.40182101166881e-18,"0","HSP81-3"
"FKBP12",2.05466933393564e-22,-0.987246359704174,0.027,0.212,3.66799569494191e-18,"0","FKBP12"
