"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT3G20920.2",3.94011659029646e-05,0.913109422192157,0.108,0.04,0.703389613699723,"2","AT3G20920"
"AT5G62865",3.95990985474287e-05,2.36853502913673,0.038,0.006,0.706923107268698,"2","AT5G62865"
"AT2G39960.2",3.99370996334691e-05,0.424355640447904,0.135,0.056,0.71295710265669,"2","AT2G39960"
"ATR2.2",4.01499672801717e-05,1.04798698217043,0.108,0.04,0.716757215885625,"2","ATR2"
"PP2AA2.1",4.04233758917905e-05,1.14787701951886,0.086,0.028,0.721638106420244,"2","PP2AA2"
"LCV1.1",4.08731082516295e-05,1.89442152272953,0.038,0.006,0.72966672850809,"2","LCV1"
"SCAMP5.2",4.09184310286705e-05,-0.315340200406214,0.178,0.082,0.730475830723826,"2","SCAMP5"
"AT4G17520.1",4.09198183078477e-05,0.153176470546201,0.184,0.086,0.730500596431698,"2","AT4G17520"
"FNR2.2",4.09256672640635e-05,-6.4662587973915,0.005,0.094,0.730605011998062,"2","FNR2"
"RABA1c.1",4.10903077113521e-05,0.942511421982352,0.124,0.049,0.733544173263058,"2","RABA1c"
"ARR9",4.12441950701455e-05,1.32209227630269,0.038,0.006,0.736291370392237,"2","ARR9"
"AT5G54100.2",4.15026988482514e-05,2.64107019692858,0.076,0.023,0.740906179838984,"2","AT5G54100"
"AT1G79710.1",4.18068245747914e-05,2.02843077275559,0.038,0.006,0.746335432309176,"2","AT1G79710"
"TBP1.1.1",4.18068245747914e-05,1.87764959934962,0.038,0.006,0.746335432309176,"2","TBP1.1"
"AT4G14615.1",4.20815021804949e-05,1.09947923328488,0.108,0.04,0.751238976926195,"2","AT4G14615"
"AT5G24620.2",4.21292698225952e-05,-0.165578433552886,0.086,0.027,0.75209172487297,"2","AT5G24620"
"QUA3.2",4.21397978584304e-05,0.932982987817347,0.081,0.025,0.7522796713687,"2","QUA3"
"AT4G19900.1",4.25683321901473e-05,1.46868199455648,0.038,0.006,0.759929866258509,"2","AT4G19900"
"SQS1.1",4.28766233082393e-05,0.740648519358204,0.124,0.05,0.765433479298688,"2","SQS1"
"AT5G65760.2",4.30124517599844e-05,1.00702287536574,0.07,0.02,0.767858288819241,"2","AT5G65760"
"AT1G13970",4.34674869202212e-05,5.38416200814615,0.022,0.002,0.775981576499789,"2","AT1G13970"
"AT1G54450",4.34674869202212e-05,5.54685349838899,0.022,0.002,0.775981576499789,"2","AT1G54450"
"AT4G02425",4.34674869202212e-05,5.35767981916771,0.022,0.002,0.775981576499789,"2","AT4G02425"
"AT5G51500",4.34674869202212e-05,4.81737964137062,0.022,0.002,0.775981576499789,"2","AT5G51500"
"PCL1",4.35387294876594e-05,0.602295203819914,0.038,0.006,0.777253398813696,"2","PCL1"
"AT5G02502.1",4.37456355133253e-05,1.09270668125911,0.07,0.02,0.780947085183883,"2","AT5G02502"
"AT2G32020",4.3777286265235e-05,4.5945776848038,0.022,0.002,0.781512114406976,"2","AT2G32020"
"CYP705A28",4.3777286265235e-05,6.29291279346968,0.022,0.002,0.781512114406976,"2","CYP705A28"
"AT4G26470",4.3777286265235e-05,4.73718387623428,0.022,0.002,0.781512114406976,"2","AT4G26470"
"AT5G02070",4.40891792420667e-05,4.7271610297736,0.022,0.002,0.787080027829375,"2","AT5G02070"
"HDA6.2",4.41780933414431e-05,1.46836609588318,0.076,0.023,0.788667322331442,"2","HDA6"
"FIB2.2",4.43276983882713e-05,1.0754925911486,0.135,0.056,0.791338071627419,"2","FIB2"
"AT1G25370",4.44031791465848e-05,4.24466363749208,0.022,0.002,0.792685554124832,"2","AT1G25370"
"AT2G23090.1",4.45642587756545e-05,-0.259105989708279,0.308,0.17,0.795561147662985,"2","AT2G23090"
"NDPK2.1",4.45967997538306e-05,-4.45273642205856,0.032,0.134,0.796142069205383,"2","NDPK2"
"LOX6",4.47192993529912e-05,3.09391395599199,0.022,0.002,0.7983289320496,"2","LOX6"
"CYP705A19",4.47192993529912e-05,3.68069770034851,0.022,0.002,0.7983289320496,"2","CYP705A19"
"AT4G29610",4.47192993529912e-05,1.76263191898508,0.022,0.002,0.7983289320496,"2","AT4G29610"
"AT5G11140",4.47192993529912e-05,2.03866707848701,0.022,0.002,0.7983289320496,"2","AT5G11140"
"RVE1",4.47192993529912e-05,3.60644152607193,0.022,0.002,0.7983289320496,"2","RVE1"
"AT2G47485",4.5037553314239e-05,2.84665046923,0.022,0.002,0.804010401765795,"2","AT2G47485"
"EXPA12",4.5037553314239e-05,3.32738909813864,0.022,0.002,0.804010401765795,"2","EXPA12"
"AT5G44380",4.5037553314239e-05,3.05513012575024,0.022,0.002,0.804010401765795,"2","AT5G44380"
"CXE20",4.5037553314239e-05,3.19451424143442,0.022,0.002,0.804010401765795,"2","CXE20"
"RER1B.2",4.52511163472971e-05,0.929631335088939,0.119,0.047,0.807822929031948,"2","RER1B"
"PP2A-3.2",4.5389215285982e-05,0.84624716221329,0.13,0.053,0.81028827128535,"2","PP2A-3"
"AT2G45920",4.56805167093652e-05,2.35787317641121,0.022,0.002,0.815488584295587,"2","AT2G45920"
"ISA3.1",4.59485326624724e-05,1.21737176959326,0.081,0.025,0.820273205090458,"2","ISA3"
"SKS1.2",4.59659779149064e-05,1.69818788159404,0.081,0.026,0.820584637736909,"2","SKS1"
"AT1G17300",4.60052534467153e-05,1.82829268712988,0.022,0.002,0.821285784530762,"2","AT1G17300"
"AT2G22930",4.60052534467153e-05,1.60448271599215,0.022,0.002,0.821285784530762,"2","AT2G22930"
"BGAL12",4.60052534467153e-05,1.38168175222112,0.022,0.002,0.821285784530762,"2","BGAL12"
"AT4G39050.2",4.6644798012979e-05,1.66746348044427,0.076,0.023,0.8327029341277,"2","AT4G39050"
"AT1G36050.1",4.77685000302678e-05,1.54025262746662,0.076,0.023,0.852763262540341,"2","AT1G36050"
"AL3.1",4.83030190618454e-05,0.481185455944482,0.124,0.05,0.862305496292063,"2","AL3"
"GUT1.2",4.83134119234073e-05,2.09045710505344,0.065,0.017,0.862491029656667,"2","GUT1"
"AT1G05520.2",4.87888491826164e-05,0.732698307058071,0.076,0.023,0.870978535608068,"2","AT1G05520"
"AT3G11130.2",4.91501572298854e-05,0.207544619171051,0.162,0.074,0.877428606867915,"2","AT3G11130"
"PDIL5-2.1",4.94507498319499e-05,0.162425747745883,0.097,0.034,0.88279478599997,"2","PDIL5-2"
"KOB1.2",4.95040590266639e-05,0.439692575562618,0.092,0.031,0.883746461744003,"2","KOB1"
"AT2G26210.1",5.00546341756491e-05,1.77312539011637,0.065,0.017,0.893575329303688,"2","AT2G26210"
"AT3G47836.1",5.03919071359116e-05,0.482895808656242,0.097,0.034,0.899596326190294,"2","AT3G47836"
"UBC8.1",5.12678714630491e-05,0.699546752988626,0.195,0.095,0.915234041358352,"2","UBC8"
"CML23.2",5.13058906304258e-05,3.06404036162967,0.07,0.02,0.915912759534361,"2","CML23"
"AT1G15200.1",5.1399189334198e-05,0.421324104910775,0.124,0.05,0.917578327994103,"2","AT1G15200"
"EIF4E.2",5.19355878644824e-05,1.53469557479749,0.124,0.051,0.927154114556739,"2","EIF4E"
"AT5G39990.2",5.19752933074465e-05,0.126332801896025,0.076,0.023,0.927862936124535,"2","AT5G39990"
"AT1G73120.1",5.21037635782841e-05,-5.27470911975325,0.011,0.101,0.930156387399528,"2","AT1G73120"
"SGB1.2",5.21251322144215e-05,1.52174148706927,0.086,0.029,0.930537860291853,"2","SGB1"
"AT2G42710.1",5.23872023046995e-05,1.1690497831387,0.076,0.023,0.935216335543496,"2","AT2G42710"
"AT5G14550.1",5.24689451935243e-05,1.43354569150623,0.065,0.017,0.936675609594795,"2","AT5G14550"
"ABCE2.2",5.26697910958029e-05,0.315115012860623,0.124,0.05,0.940261110642274,"2","ABCE2"
"UBC32.2",5.29199314386711e-05,2.67634872684391,0.059,0.015,0.944726616043156,"2","UBC32"
"AT1G30960.2",5.33015230148263e-05,3.84987989890402,0.043,0.008,0.951538788860679,"2","AT1G30960"
"AT2G26240.2",5.34184880605319e-05,1.64433745807675,0.081,0.026,0.953626848856615,"2","AT2G26240"
"AT1G35320.2",5.35504841158217e-05,2.95252277599561,0.076,0.023,0.95598324243565,"2","AT1G35320"
"AT2G43340.2",5.36470294493636e-05,0.459127485714576,0.103,0.037,0.957706769730039,"2","AT2G43340"
"PBC1.2",5.36623411055193e-05,0.468425234493203,0.114,0.044,0.95798011341573,"2","PBC1"
"AT5G38600.1",5.40873368342902e-05,2.61349190427049,0.059,0.015,0.965567137165749,"2","AT5G38600"
"AT5G10695.2",5.43686436039744e-05,3.67373143528131,0.043,0.008,0.970589025618152,"2","AT5G10695"
"AT5G44585.1",5.45813483425245e-05,5.13542572579409,0.032,0.005,0.974386230610748,"2","AT5G44585"
"AT5G02280.2",5.47668546384866e-05,1.20129127292339,0.081,0.026,0.977697889006264,"2","AT5G02280"
"ADSS.2",5.5739809771926e-05,0.607029521841056,0.124,0.05,0.995067084048423,"2","ADSS"
"AT4G31480.2",5.59209804732849e-05,0.626020135504005,0.141,0.06,0.998301343409082,"2","AT4G31480"
"AT5G02610.1",5.62145542159772e-05,0.458057727915142,0.173,0.081,1,"2","AT5G02610"
"CYP705A22.1",5.62333200483435e-05,2.75410506583685,0.032,0.005,1,"2","CYP705A22"
"AT1G01230.2",5.64957390981374e-05,1.85597235195332,0.059,0.015,1,"2","AT1G01230"
"AT5G57330.2",5.66799038269944e-05,0.727842189821612,0.076,0.023,1,"2","AT5G57330"
"AT1G13530.1",5.67944233929745e-05,3.45641828146892,0.032,0.005,1,"2","AT1G13530"
"AT5G57410.1",5.67944233929745e-05,3.74587270055585,0.032,0.005,1,"2","AT5G57410"
"MTHSC70-2.1",5.69280712549824e-05,0.832032645817602,0.141,0.061,1,"2","MTHSC70-2"
"PVA12.2",5.69477788405396e-05,0.769173647333782,0.114,0.044,1,"2","PVA12"
"AT2G21850.1",5.70769597723778e-05,3.90829149929194,0.032,0.005,1,"2","AT2G21850"
"KMS1.1",5.72727127723149e-05,1.21633399255641,0.07,0.02,1,"2","KMS1"
"RSL1.1",5.73608270909228e-05,3.42832566638269,0.032,0.005,1,"2","RSL1"
"HTB2.2",5.73999738160419e-05,0.834795485162128,0.114,0.044,1,"2","HTB2"
"AT4G22190.1",5.74653013991812e-05,2.42270337187085,0.043,0.008,1,"2","AT4G22190"
"EMB3105.1",5.75597139134246e-05,-4.1039937600405,0.043,0.146,1,"2","EMB3105"
"RIP1.1",5.76407635271352e-05,0.537521177790954,0.178,0.085,1,"2","RIP1"
"APG8A.1",5.83357852976927e-05,0.523732014527645,0.076,0.023,1,"2","APG8A"
"AT5G15070.1",5.86111872907043e-05,2.84878287033634,0.043,0.008,1,"2","AT5G15070"
"ACYB-2",5.8688580133387e-05,-0.155209033734901,0.086,0.028,1,"2","ACYB-2"
"PP5.2.1",5.87603398317537e-05,1.26464481637932,0.108,0.041,1,"2","PP5.2"
"AT2G16595.2",5.93494731198087e-05,1.75292204968478,0.07,0.02,1,"2","AT2G16595"
"MLO11.2",5.95212460295257e-05,2.61841340688207,0.054,0.013,1,"2","MLO11"
"YUC3.2",5.95434415610845e-05,2.7053538087046,0.043,0.008,1,"2","YUC3"
"AT5G54970.1",5.96752487126573e-05,2.12334011667346,0.07,0.02,1,"2","AT5G54970"
"PGSIP6.2",6.01670715818678e-05,2.05176392661319,0.07,0.02,1,"2","PGSIP6"
"AT1G77750.2",6.04849022670172e-05,2.70329955963401,0.076,0.023,1,"2","AT1G77750"
"AT5G63930",6.08732129947694e-05,1.06911176946877,0.032,0.005,1,"2","AT5G63930"
"AT3G03320.2",6.12219885356269e-05,2.69252943430748,0.054,0.013,1,"2","AT3G03320"
"AT1G05380.1",6.14502369411592e-05,1.84194454134137,0.043,0.008,1,"2","AT1G05380"
"AT1G69280.1",6.14780555121862e-05,2.03313291139205,0.032,0.005,1,"2","AT1G69280"
"AT2G29020.2",6.15236994186106e-05,0.801670939650048,0.097,0.035,1,"2","AT2G29020"
"AT2G45010.1",6.16287931913621e-05,2.33824135457149,0.054,0.013,1,"2","AT2G45010"
"EMB2777.2",6.1906298068332e-05,2.10067711850839,0.076,0.023,1,"2","EMB2777"
"GlcNAc1pUT1.1",6.20885849154863e-05,1.79245279767,0.032,0.005,1,"2","GlcNAc1pUT1"
"SUT2.1",6.21800777883344e-05,1.26817244196081,0.043,0.008,1,"2","SUT2"
"ILP1.2",6.26230689826161e-05,1.10640187350216,0.081,0.026,1,"2","ILP1"
"G6PD3.1",6.28646173193047e-05,1.82962919695782,0.054,0.013,1,"2","G6PD3"
"AT3G03140",6.29181197993597e-05,1.41831208909464,0.043,0.008,1,"2","AT3G03140"
"KUP11.1",6.31346226850466e-05,3.11786680997489,0.049,0.011,1,"2","KUP11"
"AHL1.2",6.31962557653701e-05,1.86372982354473,0.076,0.023,1,"2","AHL1"
"AT5G03345.2",6.32341809082426e-05,0.307275363553024,0.141,0.06,1,"2","AT5G03345"
"AT5G57370",6.41666495212816e-05,0.919224829559919,0.043,0.008,1,"2","AT5G57370"
"OCT2",6.42391038629545e-05,4.98240419908594,0.027,0.003,1,"2","OCT2"
"AT5G41290",6.42391038629545e-05,5.64273019650362,0.027,0.003,1,"2","AT5G41290"
"AT3G58580.1",6.43360598768703e-05,2.25619921829321,0.054,0.013,1,"2","AT3G58580"
"JAZ12.1",6.43451217702124e-05,1.34209481010181,0.059,0.015,1,"2","JAZ12"
"CYCD2%3B1.1",6.49663764892396e-05,2.39272035352122,0.049,0.011,1,"2","CYCD2%3B1"
"AT5G09310.1",6.49663764892396e-05,2.62845492089616,0.049,0.011,1,"2","AT5G09310"
"PDE334.1",6.54709349253902e-05,-5.27654256148426,0.022,0.115,1,"2","PDE334"
"MDP40",6.57164086661662e-05,4.12633449185437,0.027,0.003,1,"2","MDP40"
"AT1G32730",6.57164624635317e-05,3.8356015906564,0.027,0.003,1,"2","AT1G32730"
"ATG8B",6.57164624635317e-05,3.72314477457487,0.027,0.003,1,"2","ATG8B"
"SRO5",6.57164624635317e-05,3.79119548249524,0.027,0.003,1,"2","SRO5"
"BRCC36A",6.59540390065408e-05,0.572424310699764,0.043,0.008,1,"2","BRCC36A"
"ACS6",6.60907948700462e-05,2.0318317586145,0.027,0.003,1,"2","ACS6"
"AT1G52420.1",6.61201332601147e-05,0.694143168005776,0.081,0.026,1,"2","AT1G52420"
"AT5G18850",6.64671445837148e-05,2.64199089240439,0.027,0.003,1,"2","AT5G18850"
"RWA3.1",6.66103157786715e-05,1.97736877907584,0.049,0.011,1,"2","RWA3"
"AT5G17530",6.66744864591105e-05,0.192093317610337,0.065,0.017,1,"2","AT5G17530"
"AT2G43535",6.68455217893925e-05,2.76407410041445,0.027,0.003,1,"2","AT2G43535"
"CPK27",6.68455217893925e-05,3.52996763830228,0.027,0.003,1,"2","CPK27"
"AT5G14150",6.68455217893925e-05,3.98697295061678,0.027,0.003,1,"2","AT5G14150"
"AT5G59690.1",6.70588586962033e-05,0.284696189639588,0.114,0.044,1,"2","AT5G59690"
"AT2G36730",6.72259367194252e-05,4.14787864826253,0.027,0.003,1,"2","AT2G36730"
"AT5G09175",6.72259367194252e-05,2.92013809322478,0.027,0.003,1,"2","AT5G09175"
"ASPGA1.1",6.72302742287318e-05,0.468739313669481,0.086,0.029,1,"2","ASPGA1"
"AT2G23890.1",6.73933398805858e-05,1.23886911345508,0.076,0.023,1,"2","AT2G23890"
"EMB2756.2",6.75201234568671e-05,0.327267499826023,0.081,0.026,1,"2","EMB2756"
"UK/UPRT1.1",6.75673044979825e-05,1.6524481473073,0.049,0.011,1,"2","UK/UPRT1"
"ING2.1",6.78085765117262e-05,1.23916574328571,0.049,0.011,1,"2","ING2"
"AtSec20.1",6.82935683167845e-05,1.91510432607936,0.049,0.011,1,"2","AtSec20"
"AT1G73930.1",6.84357673219644e-05,0.6584855737502,0.059,0.015,1,"2","AT1G73930"
"AT3G13120.1",7.03129939419199e-05,-4.97899203992212,0.022,0.115,1,"2","AT3G13120"
"HD1.2",7.03383249087553e-05,1.30015932912124,0.146,0.065,1,"2","HD1"
"PSBY.1",7.03598540998097e-05,-9.44964512862831,0,0.08,1,"2","PSBY"
"AT1G22790.2",7.04644309675537e-05,1.04966977475472,0.07,0.02,1,"2","AT1G22790"
"AT2G44860.1",7.05666129601065e-05,0.469276911877176,0.146,0.064,1,"2","AT2G44860"
"ANT1",7.07681589486116e-05,0.221112883397742,0.049,0.011,1,"2","ANT1"
"CTR1.1",7.09158463607588e-05,0.612177439877756,0.097,0.035,1,"2","CTR1"
"MAC3B.2",7.10213857640404e-05,1.03834668352892,0.151,0.068,1,"2","MAC3B"
"AT1G17780",7.15479653504517e-05,1.71160687373763,0.027,0.003,1,"2","AT1G17780"
"AT2G17500",7.195364865748e-05,0.868465589583155,0.027,0.003,1,"2","AT2G17500"
"AT1G01490.1",7.31492588494441e-05,0.91628561846409,0.054,0.013,1,"2","AT1G01490"
"RHD4.2",7.33156476388726e-05,0.617360670870679,0.081,0.026,1,"2","RHD4"
"SUN2",7.33274080389459e-05,1.0641985647612,0.049,0.011,1,"2","SUN2"
"GTA2.2",7.3659206322648e-05,1.02509224444341,0.119,0.048,1,"2","GTA2"
"AT4G00585.1",7.37650693498358e-05,0.294274999623187,0.119,0.047,1,"2","AT4G00585"
"VCL1.1",7.37853478875268e-05,-0.416457058040266,0.07,0.02,1,"2","VCL1"
"SPT1.1",7.44357794311444e-05,0.924601251274442,0.092,0.032,1,"2","SPT1"
"AT4G39520.1",7.4590404781829e-05,0.242160696857705,0.173,0.082,1,"2","AT4G39520"
"MC4.2",7.50439353200998e-05,1.71454965780699,0.076,0.023,1,"2","MC4"
"AT5G58740.1",7.50937731784616e-05,0.971842567291417,0.07,0.02,1,"2","AT5G58740"
"AT3G66654.1",7.51953548630871e-05,0.474269080006783,0.07,0.02,1,"2","AT3G66654"
"EMB2107.2",7.5763902658488e-05,0.562294039941597,0.168,0.08,1,"2","EMB2107"
"CYSD2.2",7.61312939345109e-05,1.55377900157961,0.081,0.026,1,"2","CYSD2"
"RPL4.2",7.66460304707929e-05,-3.94976660554683,0.016,0.107,1,"2","RPL4"
"AT1G67750",7.66601686595825e-05,0.124863286685495,0.059,0.015,1,"2","AT1G67750"
"REP.2",7.70456826797496e-05,0.742353858487499,0.07,0.02,1,"2","REP"
"AT1G44835.2",7.71287613686643e-05,1.18590818341192,0.092,0.032,1,"2","AT1G44835"
"AK-LYS1.2",7.72583516689548e-05,1.09957012543321,0.065,0.018,1,"2","AK-LYS1"
"AT5G65660.2",7.76985337633836e-05,1.61542666783236,0.065,0.018,1,"2","AT5G65660"
"AT1G47278.1",7.80953933223466e-05,0.714296462496862,0.103,0.038,1,"2","AT1G47278"
"AT3G07810.1",7.82485369574059e-05,1.00907289591982,0.097,0.035,1,"2","AT3G07810"
"AT2G35680.1",7.82827875126454e-05,0.154593801560213,0.086,0.029,1,"2","AT2G35680"
"GC5.1",7.83499937506783e-05,0.766146152038333,0.119,0.048,1,"2","GC5"
"DECOY.2",7.84695934993965e-05,1.69713606028232,0.103,0.039,1,"2","DECOY"
"SMO2-1",7.87264823509932e-05,0.3319857781995,0.07,0.02,1,"2","SMO2-1"
"AGT2.1",7.92472573192596e-05,-0.108321170249852,0.092,0.032,1,"2","AGT2"
"ERS1.2",7.99753998578188e-05,0.837158351373263,0.119,0.048,1,"2","ERS1"
"AT5G27970.2",7.99804071876962e-05,0.949493481941062,0.076,0.023,1,"2","AT5G27970"
"BETA-UP.2",8.03897274516045e-05,1.44609264044673,0.065,0.018,1,"2","BETA-UP"
"EMB3147.2",8.23469197024595e-05,0.668014721867242,0.124,0.052,1,"2","EMB3147"
"AT4G12050.2",8.50830644008573e-05,2.71045926340663,0.059,0.016,1,"2","AT4G12050"
"AT5G01460.2",8.60375387324424e-05,2.04153098906313,0.07,0.021,1,"2","AT5G01460"
"TPR2.1.2",8.67372357090269e-05,0.877771131629891,0.081,0.026,1,"2","TPR2.1"
"AT5G12470.1",8.73389649648431e-05,0.489388110676255,0.124,0.051,1,"2","AT5G12470"
"GRF3.2",8.81495727192057e-05,0.575081048126197,0.103,0.038,1,"2","GRF3"
"COP8.2",8.84244760851307e-05,0.449816808493159,0.097,0.035,1,"2","COP8"
"MYB73.2",8.972340367278e-05,2.20340890154884,0.076,0.024,1,"2","MYB73"
"RAN3.1",8.9876006746707e-05,0.388057833738345,0.178,0.087,1,"2","RAN3"
"GATL10.2",8.99480723951633e-05,2.53667910432486,0.076,0.024,1,"2","GATL10"
"AT5G47890.1",9.00754218872639e-05,0.864843746948378,0.135,0.059,1,"2","AT5G47890"
"AT3G06680.2",9.24337885250504e-05,0.91510823119022,0.157,0.074,1,"2","AT3G06680"
"AT1G15120.1",9.33291957752974e-05,0.5776202998021,0.157,0.072,1,"2","AT1G15120"
"AT1G14570.1",9.52494113176378e-05,0.631268663314415,0.081,0.026,1,"2","AT1G14570"
"AT1G26550.1",9.61086398168651e-05,0.762765351552399,0.119,0.048,1,"2","AT1G26550"
"AT3G44190.1",9.67727737611054e-05,1.19866373933278,0.07,0.021,1,"2","AT3G44190"
"TBL24.1",9.71567310083332e-05,3.73656729822005,0.038,0.007,1,"2","TBL24"
"GORK.1",9.75636655993092e-05,2.29575771924376,0.038,0.007,1,"2","GORK"
"AT4G28080.1",9.85732588455396e-05,-9.33566832442369,0,0.077,1,"2","AT4G28080"
"AT5G35460.1",9.87567633563364e-05,0.684776922308467,0.065,0.018,1,"2","AT5G35460"
"HVT1.2",9.88901446541935e-05,2.00264027724017,0.076,0.024,1,"2","HVT1"
"TPR1.2",9.90209647938283e-05,1.18174764407499,0.086,0.029,1,"2","TPR1"
"AT1G31130.2",9.91064889900172e-05,1.70708790905206,0.081,0.027,1,"2","AT1G31130"
"ECT2.2",9.99327643048447e-05,0.350718843855585,0.195,0.098,1,"2","ECT2"
"AT1G08800.1",0.000100039267334167,2.63707261600449,0.038,0.007,1,"2","AT1G08800"
"RH8.2",0.000100393082782323,0.448823851462362,0.081,0.026,1,"2","RH8"
"AT3G30390.1",0.000100666284627485,0.318657132938872,0.076,0.023,1,"2","AT3G30390"
"IAR3",0.000100877561976824,2.27244184645909,0.038,0.007,1,"2","IAR3"
"AT5G37350.2",0.000101958497110739,1.27792102041437,0.081,0.027,1,"2","AT5G37350"
"AT3G05100.2",0.00010200957000074,0.279146082474919,0.092,0.032,1,"2","AT3G05100"
"AT4G24710.1",0.000102147446190799,3.35755215074228,0.038,0.007,1,"2","AT4G24710"
"AT1G61150.1",0.000102267045046053,1.37154127744634,0.07,0.021,1,"2","AT1G61150"
"AT1G72416.1",0.000103366672996529,0.131642897568479,0.097,0.035,1,"2","AT1G72416"
"AT1G29070.1",0.000103958477594372,-5.61514104840515,0.011,0.095,1,"2","AT1G29070"
"KIN10.1",0.000104790628886419,1.5017914841185,0.059,0.016,1,"2","KIN10"
"GCT.1",0.000105101135414794,0.830778464747374,0.059,0.016,1,"2","GCT"
"AT5G49210.1",0.000105485028765379,0.66368321290845,0.076,0.024,1,"2","AT5G49210"
"AT5G26600.1",0.000105607972171761,1.46664090645785,0.038,0.007,1,"2","AT5G26600"
"ALA2.1",0.000106982484499653,0.798087120825228,0.059,0.016,1,"2","ALA2"
"MAB1.1",0.000107197673036963,0.626884723681376,0.162,0.077,1,"2","MAB1"
"AT1G72510.1",0.000107379439746295,1.86745325404602,0.038,0.007,1,"2","AT1G72510"
"XIG.1",0.000107379439746295,1.75013934189556,0.038,0.007,1,"2","XIG"
"AT2G31820",0.000108275652028721,1.36025710367535,0.038,0.007,1,"2","AT2G31820"
"AT1G67580",0.000108726400243297,0.960538557343048,0.038,0.007,1,"2","AT1G67580"
"AT3G09410",0.000108726400243297,0.783583890077904,0.038,0.007,1,"2","AT3G09410"
"AT4G30750.1",0.00010889557858453,1.20263074423682,0.059,0.016,1,"2","AT4G30750"
"SEC22.2",0.00010947769830891,0.813729310983302,0.07,0.021,1,"2","SEC22"
"AT5G11010.1",0.000109633213133258,1.34037818886946,0.038,0.007,1,"2","AT5G11010"
"HTB4.1",0.000109649880382971,0.291416583169316,0.211,0.11,1,"2","HTB4"
"RAP2.7.1",0.000109857526834621,0.287744784466414,0.092,0.032,1,"2","RAP2.7"
"AT1G76400.2",0.000109982735331994,0.728336634675154,0.114,0.046,1,"2","AT1G76400"
"AT3G52360",0.00011008929079954,0.870402934784036,0.038,0.007,1,"2","AT3G52360"
"RBP47A.1",0.000110728136529041,0.317544172491326,0.108,0.041,1,"2","RBP47A"
"GC2.1",0.000110840917030701,0.545283607620784,0.059,0.016,1,"2","GC2"
"PLL4.1",0.000111006821215893,1.67097677964486,0.038,0.007,1,"2","PLL4"
"XI-I.1",0.000112396653132757,1.50594445230737,0.038,0.007,1,"2","XI-I"
"CYCP3%3B2.2",0.000112830463900068,4.41748108849312,0.043,0.009,1,"2","CYCP3%3B2"
"AT1G17490",0.000112863566559771,0.633421110852965,0.038,0.007,1,"2","AT1G17490"
"ABCI21.2",0.000112969831007812,1.3134088523311,0.103,0.039,1,"2","ABCI21"
"KAPP.1",0.000113078420972578,1.62789406240856,0.054,0.014,1,"2","KAPP"
"AT1G60770.1",0.000113840089541041,1.76353719800448,0.065,0.019,1,"2","AT1G60770"
"CKB2.1",0.000114441298902053,0.462249955273569,0.119,0.048,1,"2","CKB2"
"AT3G47650.1",0.000114443674351595,-5.93496418663728,0.005,0.085,1,"2","AT3G47650"
"AT3G50520.1",0.000115236369184397,1.30576392366613,0.081,0.027,1,"2","AT3G50520"
"AT2G28360.1",0.000115957967151468,1.6319247845962,0.054,0.014,1,"2","AT2G28360"
"AT1G67590.1",0.000116140186826664,1.62658247039833,0.054,0.014,1,"2","AT1G67590"
"SKP2B.1",0.00011796397624062,2.38933496804451,0.043,0.009,1,"2","SKP2B"
"AT5G06970.2",0.000118851023608027,0.288949012648214,0.097,0.036,1,"2","AT5G06970"
"RABE1b.1",0.000119066846437656,-3.746241235878,0.027,0.119,1,"2","RABE1b"
"AT1G56140.1",0.000119281342993647,3.67267009904889,0.043,0.009,1,"2","AT1G56140"
"GGH1.1",0.000120612572850574,3.4990687204719,0.043,0.009,1,"2","GGH1"
"AT3G62120.2",0.000121007403059603,0.346419230252607,0.119,0.05,1,"2","AT3G62120"
"ACLA-3.1",0.000121164262752551,1.1877839058475,0.054,0.014,1,"2","ACLA-3"
"AT1G15970.1",0.000121164262752551,1.14677720740858,0.054,0.014,1,"2","AT1G15970"
"GRI",0.000121628705289881,5.8707710631132,0.016,0.001,1,"2","GRI"
"AT1G67330",0.000121628705289881,4.90089297646239,0.016,0.001,1,"2","AT1G67330"
"AT1G71360",0.000121628705289881,4.82529801268122,0.016,0.001,1,"2","AT1G71360"
"AT1G77530",0.000121628705289881,6.24885032684661,0.016,0.001,1,"2","AT1G77530"
"CNGC15",0.000121628705289881,5.22611356465304,0.016,0.001,1,"2","CNGC15"
"AT2G28870",0.000121628705289881,5.68697826062234,0.016,0.001,1,"2","AT2G28870"
"AT2G39910",0.000121628705289881,5.06714575820197,0.016,0.001,1,"2","AT2G39910"
"AT3G27540",0.000121628705289881,6.88947364067171,0.016,0.001,1,"2","AT3G27540"
"AT3G27880",0.000121628705289881,7.48477814441743,0.016,0.001,1,"2","AT3G27880"
"AT3G59480",0.000121628705289881,5.8895972960637,0.016,0.001,1,"2","AT3G59480"
"AT4G09170",0.000121628705289881,5.26393937590394,0.016,0.001,1,"2","AT4G09170"
"AT4G13130",0.000121628705289881,5.44894801182716,0.016,0.001,1,"2","AT4G13130"
"emb2739",0.000121628705289881,5.41223669315527,0.016,0.001,1,"2","emb2739"
"AT4G33565",0.000121628705289881,5.12659573776428,0.016,0.001,1,"2","AT4G33565"
