"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.36960839650899e-32,1.13354989714739,0.681,0.226,9.58582490944785e-28,"2","AT3G09200"
7.00970424187322e-32,2.29561801412519,0.319,0.059,1.25137240125921e-27,"2","SKS6"
8.11184901833403e-32,1.31418712999899,0.514,0.145,1.44812728675299e-27,"2","AT5G08690"
1.2341662709092e-31,1.1938351111185,0.443,0.113,2.2032336268271e-27,"2","HA2"
1.53580243171115e-31,3.19946802029456,0.162,0.01,2.74171450109074e-27,"2","GH3.17"
1.67151725184661e-31,2.1562832887975,0.27,0.041,2.98399259799657e-27,"2","UGT85A2"
1.29788406919699e-115,4.46784169793193,0.821,0.099,2.31698264033047e-111,"3","EXT3"
2.84492202749852e-107,7.15045687762383,0.441,0.012,5.07875480349036e-103,"3","UCC2"
2.81802288321414e-94,4.50174902664438,0.538,0.039,5.03073445111388e-90,"3","AGP4"
1.56694213100171e-58,3.74176347191861,0.234,0.005,2.79730509226426e-54,"3","XYP2"
1.98943235643663e-58,12.5114844052999,0.186,0,3.55153464271068e-54,"3","AGP14"
7.96999576181234e-58,3.9335764481239,0.248,0.007,1.42280364339874e-53,"3","LAX3"
8.3836038018741e-54,3.48456765829986,0.483,0.073,1.49664095071056e-49,"3","PMEPCRA"
1.28277179501276e-51,3.15708034943768,0.476,0.071,2.29000420845678e-47,"3","RHM1"
4.63047205725115e-51,2.78929856794629,0.241,0.009,8.26631871660475e-47,"3","AT1G12080"
7.54351892709806e-51,2.82763128173139,0.428,0.054,1.34666899886554e-46,"3","AGP7"
1.881529132794e-49,2.08430758580376,0.324,0.026,3.35890580786386e-45,"3","LCR68"
5.25023820988986e-49,6.36182256054905,0.241,0.012,9.37272525229539e-45,"3","AT4G30170"
8.07852466560953e-49,2.71280323369142,0.476,0.074,1.44217822330461e-44,"3","SAHH2"
7.13932052535703e-48,2.25290851018726,0.676,0.181,1.27451150018674e-43,"3","AGP9"
3.60989963077242e-46,2.20734655616805,0.262,0.016,6.44439282085492e-42,"3","AT1G62480"
5.08079320225188e-46,7.26098132149071,0.214,0.009,9.07023202466006e-42,"3","AT2G43150"
5.77995125141595e-46,6.84995107165123,0.179,0.004,1.03183689740278e-41,"3","RCI3"
9.48908572173727e-46,2.60232600297794,0.317,0.03,1.69399158304454e-41,"3","AT3G57010"
9.40997613211896e-45,6.04333589527099,0.186,0.005,1.67986893910588e-40,"3","AT3G50640"
6.20904453882905e-44,2.1473200830908,0.655,0.175,1.10843863107176e-39,"3","GASA4"
1.51109873160351e-43,12.8312034129418,0.138,0,2.69761345565858e-39,"3","AGP24"
3.18082941269108e-43,2.61267433363587,0.345,0.039,5.67841666753612e-39,"3","TT4"
9.40957546808485e-43,2.42409016210167,0.476,0.087,1.67979741256251e-38,"3","AGP15"
2.76287455616478e-41,5.72482939629822,0.193,0.008,4.93228365766536e-37,"3","AT5G24580"
