"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT3G53870",0.0431365161935019,-1.30204130773568,0.045,0.105,1
"LHCB2.1",0.0449199244379788,1.78953005903148,0.149,0.053,1
"UBQ10",0.047646646720238,-0.866818279015974,0.103,0.193,1
"AT2G37220",0.0534943698165752,1.54009115108613,0.182,0.088,1
"AT5G02960",0.0540743932540769,-0.895058549418172,0.055,0.123,1
"POM1",0.0551429527134082,-1.38946785674536,0.046,0.105,1
"PSBTN",0.0579985769347217,1.75081220829156,0.139,0.053,1
"MLS",0.0612008052119744,2.0595641424511,0.115,0.035,1
"PSBX",0.063120774653634,1.270579664693,0.187,0.088,1
"ACP4",0.0658919386094497,2.53003321843663,0.11,0.035,1
"FNR1",0.0668785805867228,1.09184445225061,0.146,0.053,1
"PSAE-2",0.0671552735783166,2.37600869802881,0.11,0.035,1
"AT5G15200",0.068658338844179,1.75797013545465,0.135,0.053,1
"AT3G58610",0.0688433152370956,-0.958118703090206,0.048,0.105,1
"RPL12-A",0.0751549734649935,2.20511119253155,0.108,0.035,1
"SHM1",0.0775278930766684,1.92613352159476,0.108,0.035,1
"CAT2.1",0.0796891035255865,1.59864626621145,0.11,0.035,1
"PSBO1",0.0799940839279012,1.11478853563944,0.252,0.158,1
"emb2386",0.0821536403251736,-0.679928388198393,0.101,0.175,1
"AT2G27720",0.0851748583450471,-0.823997504302835,0.05,0.105,1
"PSBW",0.0857089463143752,1.08305478719599,0.18,0.088,1
"AILP1",0.0906858539363925,-0.763748031446489,0.115,0.193,1
"CLPC1",0.0943101168768528,1.66543090211776,0.125,0.053,1
"RPL15",0.0974499794398833,1.9894890856769,0.101,0.035,1
"AT3G62870",0.0983692999534588,-1.12904662298497,0.053,0.105,1
"COR47",0.106957153352171,-0.880579268516716,0.053,0.105,1
"ATMS1",0.115958266380443,-0.688424340860837,0.159,0.246,1
"UBC10",0.1240724598517,-0.835012067982589,0.068,0.123,1
"AAC1",0.124695276936277,-0.666236121146779,0.065,0.123,1
"AT5G60390",0.127640465190558,-0.84399513896988,0.166,0.246,1
"ACO3",0.128592492109039,-0.603486457444517,0.094,0.158,1
"TCTP",0.129851237849373,-0.763892351578932,0.068,0.123,1
"FED A",0.156951846256978,1.02071583094446,0.175,0.105,1
"TUA5",0.164028449142225,-0.570813062771434,0.07,0.123,1
"AT1G54410",0.177485678584928,-0.583517855281538,0.084,0.14,1
"GRP3S",0.186636762626124,1.2631787480986,0.149,0.088,1
"PSRP5",0.187785195708145,1.32853327438201,0.125,0.07,1
"AT1G70600",0.197108807738462,-0.350498527166605,0.072,0.123,1
"AT1G27400",0.203961792533128,-0.324243017222372,0.06,0.105,1
"AT1G56045",0.212049499685484,-0.587334240013735,0.075,0.123,1
"AT1G25098",0.221176602459485,-0.410080877413158,0.139,0.211,1
"LHCA3",0.238742414862696,0.723930698769878,0.207,0.14,1
"P40",0.242473444879941,-0.62375280065058,0.077,0.123,1
"AT4G27090",0.244671393619683,-0.650953628509769,0.065,0.105,1
"HSP18.2",0.254550973109262,-0.305209065422897,0.322,0.386,1
"CP12-1",0.29799349353936,0.871922178243635,0.132,0.088,1
"GOX2",0.312334781871809,0.920053777305388,0.113,0.07,1
"NUC-L1",0.333455858286259,-0.639536373477478,0.072,0.105,1
"PHT3%3B1",0.341728566499749,-0.826195691135016,0.072,0.105,1
"AT5G19940",0.342555997454683,0.581721875967334,0.11,0.07,1
"SHD",0.345062922823432,-0.603513056250545,0.118,0.158,1
"GS2",0.3512713487849,0.941829577099201,0.108,0.07,1
"ROC3",0.352366134958099,-0.372720254208653,0.101,0.14,1
"ATHSP22.0",0.394808250769583,0.261293615157892,0.13,0.088,1
"ELIP1",0.493933798315939,-0.331744695073926,0.08,0.105,1
"PSAH-1",0.499420395796216,0.969886983341675,0.111,0.088,1
"GUN5",0.621996779879828,0.819566374701728,0.122,0.105,1
"ELP",0.630537179172339,0.273122328267762,0.125,0.105,1
"HSP17.6II",0.690034275431483,0.316827417065014,0.182,0.158,1
"CPN60A",0.726568179433503,0.285032491498974,0.122,0.105,1
"AVP1",0.850185886590673,0.428584256212168,0.159,0.158,1
"THI1",0.920031833080075,0.3562560430329,0.123,0.123,1
