"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT3G59540",5.17267718911383e-22,-1.64975696572914,0.179,0.914,9.23426331800601e-18
"EMB2296",5.77152137734867e-22,-1.68802625005692,0.366,1,1.03033199628428e-17
"EMB3010",6.59444422619443e-22,-1.63568474835348,0.145,0.852,1.17724018326023e-17
"RBP45A",6.85084467014733e-22,-2.79885358183523,0.069,0.716,1.2230127905147e-17
"RPS13A",7.55945920648686e-22,-1.78903829738699,0.166,0.877,1.34951465754203e-17
"PRMT10",7.66207528821553e-22,-5.13053056456868,0.014,0.568,1.36783368045224e-17
"AT2G27710",7.68571081607095e-22,-1.69008969467642,0.352,0.975,1.37205309488499e-17
"AT4G31985",8.51347517587745e-22,-1.50392436535259,0.283,1,1.51982558839764e-17
"AT5G02870",9.55105187025667e-22,-1.74629646566124,0.262,0.975,1.70505377987822e-17
"AT4G25740",1.06761172182566e-21,-2.9766067748923,0.076,0.704,1.90590044580316e-17
"AT3G45030",1.13096465730726e-21,-2.59986427801375,0.055,0.679,2.01899810622492e-17
"AT1G74050",1.15997258137738e-21,-2.04461653681814,0.172,0.852,2.07078305227489e-17
"PFL",1.25059285817746e-21,-1.46519944733059,0.179,0.914,2.23255837041841e-17
"AT5G47700",1.25385796412164e-21,-1.75067776453248,0.262,0.975,2.23838723754995e-17
"AT3G02560",1.29495353107464e-21,-1.89635998868892,0.131,0.815,2.31175104367444e-17
"AT5G64420",1.42088085733903e-21,-5.7188212280547,0.007,0.543,2.53655650652163e-17
"RPS5A",1.45795800494982e-21,-1.6930488025037,0.29,0.963,2.60274663043643e-17
"AT2G05220",1.58155733232654e-21,-1.83445335766096,0.138,0.852,2.82339614966933e-17
"ALATS",1.65965427945605e-21,-2.05709848243547,0.097,0.765,2.96281481968495e-17
"cpHsc70-1",1.68942855063416e-21,-2.95620783811564,0.055,0.679,3.0159678485921e-17
"AT2G41800",1.7342723168374e-21,-8.62084120734111,0,0.519,3.09602294001813e-17
"AT3G12860",1.73436201537365e-21,-8.46948763934164,0,0.519,3.09618306984503e-17
"RID2",1.73436201537365e-21,-8.23533836952976,0,0.519,3.09618306984503e-17
"AT1G36060",1.84954516709126e-21,-3.84725914921141,0.007,0.543,3.30180803229131e-17
"AT3G15240",1.84954516709126e-21,-4.93104265555208,0.007,0.543,3.30180803229131e-17
