"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOS2",1.05814454145999e-06,0.446166660029775,0.244,0.046,0.0188899963541438
"RCD1",1.05814646502024e-06,0.47984992980933,0.244,0.046,0.0188900306935413
"GAPC2",1.68061594498184e-06,1.11746659003808,0.244,0.048,0.0300023558498158
"UBQ5",1.85120899137102e-06,0.275798308661271,0.244,0.048,0.0330477829139554
"AT2G23120",1.8562246766638e-06,0.594925131720207,0.268,0.057,0.0331373229278021
"HAP6",2.03431998335281e-06,0.545739770193688,0.195,0.033,0.0363166803428144
"RPL27AB",2.03432471544147e-06,0.285407674982138,0.195,0.033,0.0363167648200611
"TPX1",2.05129943642083e-06,0.455116123258987,0.268,0.057,0.0366197975389847
"AT1G30475",2.09552174055776e-06,1.49849984489345,0.146,0.019,0.0374092541124371
"IAA8",2.09552933950822e-06,1.1231301790945,0.146,0.019,0.0374093897689007
"UBC36",2.12862858435301e-06,1.15384457454049,0.146,0.019,0.03800027748787
"AT3G53580",2.12863629341387e-06,1.49515597485808,0.146,0.019,0.0380004151100245
"AT5G08420",2.12863629341387e-06,0.861015554053753,0.146,0.019,0.0380004151100245
"AT1G29418",2.12864400249801e-06,1.06430131162138,0.146,0.019,0.0380005527325945
"ATRBP45C",2.12864400249801e-06,0.976390580770475,0.146,0.019,0.0380005527325945
"CESA1",2.12864400249801e-06,1.16166142660855,0.146,0.019,0.0380005527325945
"Phox2",2.37966287288138e-06,0.930963654433776,0.171,0.026,0.0424817416066785
"RPS13A",2.6960599545741e-06,0.992404613743641,0.22,0.041,0.0481300623090569
"AT3G04470",3.39110163613404e-06,2.35931313562197,0.122,0.014,0.0605379464082648
"AT3G15480",3.70123990174539e-06,2.07448599658512,0.122,0.014,0.0660745347259588
"BASS2",3.80063215825011e-06,0.801061664985189,0.195,0.034,0.067848885289081
"AT3G44590",3.90016884433882e-06,1.32500942107536,0.122,0.014,0.0696258142091366
"AT4G21110",3.90016884433882e-06,0.80177390657437,0.122,0.014,0.0696258142091366
"ARF2",3.90016884433882e-06,1.25370421027908,0.122,0.014,0.0696258142091366
"AT1G01940",3.90018628265176e-06,1.51579703120968,0.122,0.014,0.0696261255178992
"AT1G20580",3.90018628265176e-06,0.985516701184886,0.122,0.014,0.0696261255178992
"ARFA1D",3.90018628265176e-06,1.52194312341629,0.122,0.014,0.0696261255178992
"AT2G14880",3.90018628265176e-06,0.596465689869001,0.122,0.014,0.0696261255178992
"AT3G02760",3.90018628265176e-06,0.828612700442382,0.122,0.014,0.0696261255178992
"AT3G10260",3.90018628265176e-06,0.87005672057886,0.122,0.014,0.0696261255178992
"SKU5",3.90018628265176e-06,0.82919963013786,0.122,0.014,0.0696261255178992
"AT4G14420",3.90018628265176e-06,1.24097866652297,0.122,0.014,0.0696261255178992
"AT4G21660",3.90018628265176e-06,1.07279406430268,0.122,0.014,0.0696261255178992
"CIB22",3.90018628265176e-06,1.17464266972123,0.122,0.014,0.0696261255178992
"TRX2",3.90018628265176e-06,1.1377469035086,0.122,0.014,0.0696261255178992
"AT2G31610",4.08474814372927e-06,0.577150330241599,0.195,0.034,0.072920923861855
"AT3G44010",4.0848173685192e-06,0.499349760282862,0.195,0.034,0.0729221596628048
"TCTP",4.82704021455858e-06,0.25635938196785,0.293,0.068,0.0861723219102998
"AT1G07920",4.9045656626427e-06,1.0171572552677,0.171,0.027,0.0875563062094975
"AT3G51950",5.04055846447575e-06,1.52428470894147,0.146,0.021,0.0899840497078212
"PAB2",5.09261982950053e-06,0.602206256831846,0.22,0.043,0.0909134491962434
"AT2G34250",5.10078066328594e-06,1.06218191109878,0.171,0.027,0.0910591364009807
"AT3G14600",5.30448667590527e-06,0.651499658769955,0.171,0.027,0.094695696138261
"ARFA1E",5.30448667590527e-06,0.792625564899521,0.171,0.027,0.094695696138261
"ATMS1",5.63608254964167e-06,0.479076611214524,0.512,0.159,0.100615345676203
"AT3G62840",5.66867572518205e-06,0.894355245279497,0.146,0.021,0.10119719904595
"UAP56a",5.66867572518205e-06,0.756245280473203,0.146,0.021,0.10119719904595
"RBCS3B",6.22562797863069e-06,-4.05949445216178,0.098,0.432,0.111139910674515
"GRF6.1",6.75145448828026e-06,0.846832184789762,0.244,0.053,0.120526965524779
"AT3G62530",7.8020136306493e-06,0.28280824797135,0.268,0.062,0.139281547334351
"CR88",8.28851897752412e-06,0.597035628540517,0.244,0.053,0.147966640786761
"AT4G24820",1.10452840715567e-05,0.399456411165294,0.171,0.029,0.19718041124543
"DGL1",1.10452840715567e-05,0.651205437852178,0.171,0.029,0.19718041124543
"PHB2",1.10453088545409e-05,0.554238475475707,0.171,0.029,0.197180853671265
"TUB9",1.10453336375699e-05,0.728773361221675,0.171,0.029,0.197181296097898
"AT5G45670",1.15474356982281e-05,1.29333580760879,0.122,0.015,0.206144822084768
"AT3G13670",1.17340660555964e-05,1.82704489355146,0.122,0.015,0.209476547224508
"AT4G29735",1.19235733431796e-05,1.81596449007232,0.122,0.015,0.212859631322441
"AT1G30880",1.23113411817087e-05,0.832967632608497,0.122,0.015,0.219782062775864
"XTH4",1.23113411817087e-05,0.831522496298597,0.122,0.015,0.219782062775864
"NTF2A",1.23113872987824e-05,0.787308954225491,0.122,0.015,0.219782886057864
"ACP2",1.23113872987824e-05,0.951453278642995,0.122,0.015,0.219782886057864
"AVA-P4",1.23113872987824e-05,0.563019959204105,0.122,0.015,0.219782886057864
"RS40",1.23113872987824e-05,1.21299857159163,0.122,0.015,0.219782886057864
"FER1",1.23113872987824e-05,0.889165452177864,0.122,0.015,0.219782886057864
"XPO1A",1.23113872987824e-05,0.572435792567858,0.122,0.015,0.219782886057864
"MIRO1",1.23113872987824e-05,0.945112246720937,0.122,0.015,0.219782886057864
"PAA1.1",1.23113872987824e-05,0.267296835871764,0.122,0.015,0.219782886057864
"PAF1",1.23113872987824e-05,0.567685115150532,0.122,0.015,0.219782886057864
"AT3G42050",1.28734313807713e-05,1.43767582537392,0.146,0.022,0.22981649700953
"AT4G39200",1.29718226795004e-05,0.33381004327193,0.317,0.082,0.231572978474442
"EIF4A-2",1.32322593953067e-05,0.812305388052492,0.146,0.022,0.236222294725015
"UBP1B",1.34152691693582e-05,1.02692135475207,0.146,0.022,0.239489385211382
"AT3G57890",1.36006169476103e-05,0.920490698380204,0.146,0.022,0.242798213748739
"CSD1",1.3600654430981e-05,0.597591086196389,0.146,0.022,0.242798882901872
"EMB2769",1.3600654430981e-05,0.730965307262938,0.146,0.022,0.242798882901872
"CB5-E",1.42693535855983e-05,0.320493174282091,0.195,0.038,0.254736500210101
"AT5G59613",1.43961343436964e-05,0.396481770676647,0.22,0.046,0.256999790303667
"GER3",1.62535878683927e-05,-6.43621675972707,0.024,0.353,0.290159050626547
"AT3G56340",2.11558658816084e-05,0.81186943521178,0.171,0.031,0.377674517718473
"HOT5",2.16595314206082e-05,0.592367414224273,0.171,0.031,0.386665954920698
"AT1G08360",2.3174008184952e-05,0.554083698869758,0.22,0.048,0.413702394117762
"UBC28",2.4791410035535e-05,0.69608285459907,0.195,0.039,0.442576251954371
"ARF1A1C",2.48043700776352e-05,0.277119911962173,0.22,0.048,0.442807614625944
"AT1G04480",2.50541552727289e-05,0.473416188872236,0.195,0.039,0.447266779928756
"AT3G20390",2.79939979505319e-05,1.394406881418,0.146,0.024,0.499748851412895
"CAD9",2.87269407183978e-05,0.766651057246294,0.146,0.024,0.512833345704837
"MPPBETA",2.92884384291877e-05,0.882674242877045,0.146,0.024,0.522857202837859
"AT4G14320",2.98604307720041e-05,0.85687324385022,0.146,0.024,0.533068410141817
"AT5G02450",2.98604307720041e-05,0.675655580727484,0.146,0.024,0.533068410141817
"AT1G30580",2.98605755171497e-05,0.877403457681836,0.146,0.024,0.533070994132157
"UBA2A",2.98606478899295e-05,0.670233389792317,0.146,0.024,0.533072286131021
"AT5G25100",2.98606478899295e-05,0.321859488862654,0.146,0.024,0.533072286131021
"AT1G04430",2.98607202628475e-05,0.483832965200474,0.146,0.024,0.533073578132354
"AT5G20500",2.98607202628475e-05,0.830170013536579,0.146,0.024,0.533073578132354
"CDF1",2.98607202628475e-05,0.771239796379024,0.146,0.024,0.533073578132354
"PHOS32",3.09433539676396e-05,1.49188075873136,0.122,0.017,0.552400755030302
"AT4G18030",3.18721178651759e-05,1.44922716408075,0.122,0.017,0.568981048129121
"AT4G12590",3.23464763414251e-05,1.52782218062659,0.122,0.017,0.57744929564712
"XTH16",3.28274327902936e-05,1.28316420693206,0.122,0.017,0.586035330172322
"VHA-C3",3.33149666141981e-05,0.379360016666491,0.122,0.017,0.594738783996665
"TOPP1",3.3315072191824e-05,0.889700778504868,0.122,0.017,0.594740668768442
"AT4G26670",3.3315072191824e-05,0.851384238355739,0.122,0.017,0.594740668768442
"SUMO2",3.3315072191824e-05,0.527503513754983,0.122,0.017,0.594740668768442
"AT5G55660",3.3315072191824e-05,1.25642799435883,0.122,0.017,0.594740668768442
"AT5G59950",3.3315072191824e-05,0.868562676286488,0.122,0.017,0.594740668768442
"iPGAM1",3.33151777697128e-05,0.96518792492181,0.122,0.017,0.594742553544912
"SKP1",3.66902105065834e-05,0.404719914768156,0.22,0.05,0.654993637963527
"AT1G70780",4.02763507943506e-05,0.361216698814946,0.171,0.033,0.719013414380748
"AT5G08670",4.07318315509672e-05,0.394223100643257,0.195,0.041,0.727144656847866
"AT4G10480",4.24141454005021e-05,0.304286323408749,0.195,0.041,0.757177323689764
"AT5G03850",5.07417305367234e-05,0.407632903942136,0.244,0.06,0.905841373541586
"LHB1B2",5.19410672961367e-05,-3.52928715725841,0.171,0.437,0.927251933370632
"AT5G46020",5.85801283125754e-05,0.61375524142749,0.146,0.026,1
"AT4G29020",5.92965714463175e-05,0.832900418874902,0.146,0.026,1
"APT1",6.07546848583433e-05,0.75046534722299,0.146,0.026,1
"ADK1.1",6.07546848583433e-05,0.450234712319595,0.146,0.026,1
"AT3G53890",6.07548149527947e-05,0.725733392285316,0.146,0.026,1
"RUXF",6.07548149527947e-05,0.72181810152563,0.146,0.026,1
"RGP2",6.07548149527947e-05,0.518167052926457,0.146,0.026,1
"HTA9",6.84516246738715e-05,0.704360322744543,0.171,0.034,1
"J3",6.84517382530368e-05,0.669789997802797,0.171,0.034,1
"HMGB4",7.63418798904295e-05,1.18745775005105,0.122,0.019,1
"GSL03",7.95365670464805e-05,0.4095169810822,0.122,0.019,1
"AT1G08580",7.95367820943932e-05,0.746476897995988,0.122,0.019,1
"SMT2",7.95367820943932e-05,0.803551393841439,0.122,0.019,1
"EBS1",7.95367820943932e-05,0.285874702045689,0.122,0.019,1
"AT3G12390",7.95367820943932e-05,0.612695583073131,0.122,0.019,1
"SCE1",7.95367820943932e-05,1.00686942398454,0.122,0.019,1
"AT3G63460",7.95367820943932e-05,0.658404107223256,0.122,0.019,1
"MTN1",7.95367820943932e-05,0.486580222938942,0.122,0.019,1
"AT5G42765",7.95367820943932e-05,1.2789949215061,0.122,0.019,1
"DWF1",0.000103369171497059,0.614879285897799,0.195,0.045,1
"PDIL2-3",0.000103369434147564,0.369090697194784,0.195,0.045,1
"ATPQ",0.000110359603945054,0.398210865703313,0.195,0.045,1
